,Date,Player,Item,DKP
100,,Respira,Band of Reanimation,200
1220,,Silly,Necklace of Necropsy,200
288,,Ezekyle,Ring of the Eternal Flame,200
192,,Gamuza,Desecrated Boots,200
2874,7/5,BLT,Eye of Diminution,200
2990,7/26,Light,Libram of Light,200
3069,8/9,BLT,Power of the Scourge,200
1212,,Thiccrae,Phylactery,200
2329,4/5,Morty,The Castigator,200
93,,Jimbodin,libram of light,200
2018,2/8,Kulmirik,Soul Harvester's Bindings,200
2876,7/5,Hadria,Band of Unanswered Prayers,200
3015,7/27,Rowaine,Cauterizing Band,200
1640,12/28,Mano,Phylactery,200
2632,5/25,Lightbornne,Regenerating Belt of Vek'nilash,200
1969,2/1,Jimbo,Power of the Scourge,200
424,,Brockstar,Loatheb's Reflection,200
1844,1/18,Immortaler,Shroud of Dominion,200
2937,7/13,Sobia,Band of Accuria,200
1156,,Manowar,Plated Abomination Ribcage,200
819,,Gamuza,Band of Accuria,200
2406,4/19,Lightbornne,The End of Dreams,200
2111,2/23,Sandi,Archimetros Ring of Reckoning,200
2999,7/27,Ismagu,Lifegiving Gem,200
1984,2/2,Remembrancer,Pure Elementium Band,200
2734,6/8,bltoaster,Fetish of sandreaver,200
202,,Alishia,Plated Abomination Ribcage,200
952,,Gamuza,Prestor's Talisman of Connivery,200
510,,Darkphate,Ring of the Godslayer,200
3262,,Tofra,Widow's Embrace,199
2665,5/31,Lightbornne,Necklace of Necropocy,199
1211,,Lucen,Soulseeker,199
2906,7/12,Shredz,Soulstring,196
2904,7/12,Kushbomb,Power of the Scourge,196
1221,,Mav,Power of the Scourge,196
2559,5/17,Hamtaro,Sapphiron's Right Eye,195
997,,Mavmoney,Wand of Fates,194
2872,7/5,Shredz,Ghoul Skin Tunic,194
1217,,Mav,Brimstone Staff,194
1903,1/25,Biggerbill,Might of the Scourge,191
14,,Thorbardin,Mightnight Haze,191
2555,5/17,Kushbomb,Soulseeker,190
2440,4/26,Nuranfu,Shield of Condemnation,190
583,,Kibbles,Seal of the Damned,190
2989,7/26,Silly,The Widow's Embrace,190
676,,Yumiki,Ring of Faith,190
2049,2/15,Varros,Power of the Scourge,189
3192,8/24,Spooge,Schematic: Biznick's ,187
2718,6/7,Malekk,SOulstring,187
1150,,Blackstabath,Phylactery,187
69,,Xorkal,Qiraji Bindings of Command,187
702,,Boenita,Eye of Cthun,185
23,,Manus,Desecrated Leggings,185
421,,Boenita,Desecrated Circlet,185
2984,7/26,Kushbomb,Sapphiron's Left Eye,185
758,,Mav,Desecrated Sandals,184
191,,Hadria,Wand of the Whispering Dead,184
2097,2/22,Gamuza,Hatchet of Sundered Bone,183
2231,3/16,Tuko,Ring of the Martyr,181
1026,,Mav,Sharpened Silithid Femur,181
2563,5/17,Blt,Ring of the Eternal Flame,180
79,,Rogueisme,Carapace of the Old God,180
7,,Hadria,Desecrated Belt,180
12,,Fatjaws,Desecrated Pauldrons,180
2518,5/10,Blackstabath,Might of the Scourge,180
656,,Boenita,Seal of the Damned,180
740,,Thunderhamer,Plated Abomination Chestplate,179
3240,8/31,Hamtaro,Garb of Royal Ascension,179
1511,,Saya,Claw of the Frost Wyrm,178
283,,Hamtaro,Eye of C'thun,177
206,,Paddington,Desecrated Boots,177
2248,3/22,Malekk,Legplates of Carnage,176
1815,1/12,Mallamin,Imperial Qiraji Armaments,176
1728,1/5,Dane,Band of Accuria,175
163,,Rogueisme,Qiraji Bindings of Command,175
2712,6/7,Gamuza,Claw of the Frost Worm,175
2750,6/14,Plated,Shield of Condemnation,175
43,,Minda,Dragonstalker's Breastplate,175
1364,,Omgitsvav,Phylactery,175
1300,,Respira,Phylactery,175
2933,7/13,Tuko,MQG,174
2469,4/27,Spooge,Boots of Epiphany,174
2697,6/1,Raphael,Wild Growth Spaulders,174
30,,Develon,Dragonstalker's Belt,173
1709,1/4,Zira,Phylactery,173
2280,3/29,Yumi,Shield of Condemnation,172
1715,1/4,Weirdobeardo,Cloak of the Scourge,170
2657,5/31,Jackkal,Might of the Scourge,170
1773,1/11,Weirdo,Kingsfall,170
1372,,Nuranfu,Resilience of the Scourge,170
1215,,Steezi,The Face of Death,170
2130,3/1,Eedz,Might of the Scourge,170
2930,7/13,Urijah,Stormrage BOots,170
305,,Toframadur,Brimstone Staff,169
2960,7/19,Kindbuds,Phylacery,169
24,,Plated,Desecrated Legguards,169
2114,2/23,Tuna,Wild Growth Spaulders,169
3023,8/2,lightbourne,Shield of Condemnation,169
897,,Rowaine,Eye of Diminution,169
2916,7/12,Iggsy,Necklace of Necroposy,169
2022,2/8,Brockstar,End of Dreams,169
1972,2/1,Raphael,Necklace of Neckropcy,169
2069,2/16,Glowork,Robes of the Guardian Saint,169
1177,,Nieth,guise of the devourer,169
3033,8/2,Galavat,Cloak of the Scourge,166
1484,,Tofra,Fetish of the Sand Weaver,166
1350,,Blackhanded,Ring of Emperor Vek'lor,166
398,,Blackstabath,Eye of C'Thun,165
1654,12/28,Valerick,Widow's Remorse,165
382,,Thunderhamer,Fetish of the Sand Reaver,165
87,,Rumplez,Icebane Pauldrons,165
83,,Toframadur,Eye of Cthun,164
1297,,Nightsummon,Seal of the Dammed,162
1847,1/18,Spooge,The Widow's Embrace,161
1411,,Valerick,Onslaught Girdle,161
33,,Keen,Bracers of Arcane Accuracy,160
278,,Ezekyle,Amulet of Vek'nilash,160
61,,Tiric,Cloak of Conc Hatred,157
2249,3/22,Vav,Wristguards of Vengeance,156
2184,3/8,Prastinna,Cloak of Suturing,156
2808,6/21,Plated,Might of the Scourge,155
94,,Minda,Desecrated Girdle,155
298,,Todger,Wand of the Fates,155
1729,1/5,Thiccrae,Bonereaver's Edge,154
3094,8/10,Svindrix,"Crul'Shorukh, Edge of Chaos",154
2057,2/15,Jimbo,Wand of Fates,153
2089,2/22,Ismagu,Widow's Remorse,152
3156,8/23,Begs,Necklace of Necropsy,151
3147,8/23,Troutbully,Ring of Redemption,151
2446,4/26,Xorkal,Soulstring,151
2710,6/7,Kazic,The Phylactery of Kel'Thuzad,151
2066,2/16,Silly,Larvae of the Great Worm,151
446,,Xorkal,phylactery,151
2124,3/1,Yumi,Ring of Redemption,151
2365,4/12,Respira,Might of the Scourge,150
3021,7/27,Ismago,Plans: Lionheart Helm,150
2442,4/26,Inu,Claw of the Frost Worm,150
1392,,Oom,"Mish'undare, Circlet of the ",150
2046,2/15,Ezekyle,Phylactery,150
80,,Ezekyle,Husk of the Old God,150
877,,Manowar,Eye of Cthun,150
1357,,Sillyprayers,Wand of the Whispering Dead,150
2865,7/5,BLT,The Phylactery of Kel'Thuzad,150
2447,4/26,Aetherium,The Castigator,150
1991,2/2,Cumin,Striker's Mark,150
2732,6/8,Okor,Barbed Choker,150
643,,Zhenduo,Band of Unanswered Prayers,150
971,,Legits,Band of Accuria,150
2936,7/13,BLT,Choker of the Fire Lord,150
896,,Hunten,Desecrated Headpiece,150
2241,3/22,Nezlol,Soulseeker,150
384,,Zekrof,Qiraji Bindings of Command,150
3157,8/23,Gamuza,Boots of Displacement,150
2454,4/26,Light,The Soul Harvester's Bindings,150
3052,8/3,Legits,Gloves of Enforcement,150
1623,12/28,Respira,Desecrated Robe,150
1351,,Kulmirik,Imperial Qiraji Regalia,150
1013,,Hunten,Phylactery,150
110,,Darkphate,Desecrated Legguards ,150
1787,1/11,Respira,Cloak of Suturing ,150
829,,Brockstar,Band of the Inevitable,150
1456,,The Castigator,The Castigator,150
1068,,Weirdobeardo,Phylactery,150
270,,Sardinas,Barbed Choker,150
81,,Hadria,Cloak of Clarity,150
782,,Zekrof,Lifegiving Gem,150
765,,Hunten,Desecrated Tunic,150
518,,Blackstabath,Desecrated Helmet,150
2090,2/22,Immortalerr,Legplates of Carnage,150
2174,3/8,Todger,Phylactery,150
2401,4/19,Keen,Power of the Scourge,150
2658,5/31,Ezekyle,Power of the Scourge,150
519,,Hadria,Desecrated Circlet,150
2092,2/22,Gamuza,Leggings of Apocalypse,150
2762,6/14,Gamuza,Harbinger of Doom,150
654,,Zhendou,Desecrated Tunic,150
3146,8/23,Jyro,Phylacery,150
62,,Thunderhamer,BP of Annihilation,146
2268,3/23,Markhunt,Cloak of Draconic Might,145
913,,Hamtaro,The Widow's Embrace,145
2566,5/17,Yumi,Wand of Fates,141
423,,Hadria,Desecrated Leggings,140
2005,2/2,Dane,Schematic: Force Reactive Disk,140
1902,1/25,Nightsummon,Power of the Scourge,140
300,,Sardinas,Desecrated Spaulders,140
880,,Donlimon,mark of cthun,140
2389,4/13,Respira,something,139
1074,,Rella,"Iblis, Blade of the Fallen Sereph",139
3107,8/16,Hamtaro,Gem of Trapped Innocents,138
103,,Toframadur,Midnight Haze,138
2752,6/14,Silly,Sapphiron's Right Eye,137
2849,6/29,Ginblossom,Mishundare,137
2328,4/5,Spooge,Ring of Faith,137
787,,Tiric,Dragonbreath Hand Cannon,137
106,,Tunasubg,Plated Abomination Ribcage,135
317,,Keen,Desecrated Sandals,135
857,,Keen,Soulseeker,134
104,,Ahimelech,Death's Bargain,130
108,,Gamuza/Respira,Desecrated Headpiece,130
11,,Barton,Severance,130
0,,Barton,Noth's Heart,130
3253,,Ismago,Phylacery,130
858,,Thunderhamer,Phylactery,129
2435,4/20,Brock,Formula: Enchant Weapon - Healing Power,127
130,,Isoncooldown,Lok'amir il Romanthis,127
3097,8/10,Deyada,Handguards of Transcendence,127
167,,Xorkal,Royal Qiraji Belt,126
422,,Keen,Desecrated Leggings,125
2203,3/15,Throndil,Shield of Condemnation,125
2314,3/30,Cascada,Formula: Enchant Gloves - Frost Power,125
388,,Keen,Royal Sceptor of Vek'lor,125
2402,4/19,Ezekyle,Eye of Diminution,125
420,,Ezekyle,Desecrated Circlet,125
3232,8/30,Truck,Ring of the Dreadnought,125
2535,5/11,Kazic,Breastplate of Annihilation,125
2063,2/16,Tukobonk,Mark of Cthun,124
917,,Mav,Phylactery,124
849,,Mavmoney,Seal of the Damned,124
2575,5/17,Spooqe,Soulharvester's bindings,123
2634,5/25,Sandi,Ring of the Martyr,123
852,,Shaq,Resilience of the Scourge,123
647,,Hadria,Desecrated Gloves,122
3237,8/31,Yumi,Amulert of Vek'nilath,122
944,,Thunderhamer,Circlet of Applied Force,122
1874,1/19,Ahimelech,Drake Talon Pauldrons,122
2071,2/16,Prastinna,Regalia,122
1873,1/19,Ahimelech,Helm of Endless Rage,121
310,,Xorkal,Ghoul Skin Tunic,121
1455,,Kookeyz,Seal of the Damned,120
434,,Fatjaws,Polar Helmet,120
1027,,Hadria,Qiraji Bindings of Command,120
2902,7/12,Sindragona,The Face of Death,120
578,,Hunten,Claw of the Frost Wyrm,120
2972,7/20,Kushbomb,Eyestalk Waist Cord,120
188,,Keen,Band of the Inevitable,120
882,,Kibbles,Vanquished tentacles of cthun,120
1869,1/19,Ahimelech,Circlet of Applied Force,120
2229,3/16,Hamtaro,Gloves of Enforcement,119
2911,7/12,Hamtaro,Rime Covered Mantle,119
99,,Keen,Veil of Eclipse,117
389,,Jimbodin,Bracelets of Royal Redemption,117
1463,,Blackhanded,Gluth's Missing Collar,117
2017,2/8,Biggerbill,Castigator,116
268,,Thunderhamerr,Imperial Qiraji Armaments,115
1933,1/26,Flowork,Grasp of the Old God,115
2569,5/17,Hadria,Eye of Diminution,115
1929,1/25,Remembrancer,Desecrated Tunic,115
987,,Nieth,Desecrated Headpiece,114
527,,Fatjaws,Desecrated Legplates,113
2465,4/27,Light,Ring of the Martyr,113
148,,Kulmirik,Azuresong Mageblade,113
2975,7/20,Nightsurviv,Ring of the Martyr,112
1604,12/22,Blackhanded,Qiraji Execution Bracers,112
2565,5/17,Clonkx,Harbinger of Doom,112
2348,4/6,Saya,Band of accuria,112
2840,6/28,Hamtaro,Band of the Inveitable,111
3002,7/27,Tuko,Claw of the Black Drake,111
306,,Dinkkle,Desecrated Leggings,111
1811,1/12,Flowork,Breastplate of Annihilation,111
292,,Varros,Band of the Inevitable,111
76,,Rogueisme,Ouro's Intact Hide,111
1371,,Kibbles,Sapphiron's Left Eye,110
490,,Manowar,Onslaught Girdle,110
204,,Xorkal,Desecrated Legplates,110
1528,,Blackhanded,Desecrated Breastplate,107
1348,,Hashie,Ring of the Qiraji Fury,107
2393,4/13,Kushbomb,Mana Igniting cord,107
275,,Jimbomane,Imperial Qiraji Regalia,107
307,,Yumiki,Desecrated Leggings,105
8,,Manus,Desecrated Belt,105
164,,Manus,Qiraji Bindings of Dominance,105
89,,Kulmirik,Ring of the Eternal Flame,105
521,,Mav,Band of the Inevitable,104
1038,,Valerick,Ring of the Godslayer,103
1566,12/21,Jib,Phylactery,103
502,,Tiric,Vek'nilash's Circlet,103
168,,Xorkal,Vek'nilash Circlet,102
2476,4/27,Glowork,Quick Strike Ring,102
139,,Kulmirik,Mana Igniting Cord,101
3220,8/30,Dwarflord,Sadist's Collar,101
768,,Fatjaws,Fortitude of the Scourge,101
2070,2/16,Silly,Boots of the Fallen Hero,101
2390,4/13,vav,something,101
1265,,Valerick,Spineshatter,101
2208,3/15,Haka,Face of Death,101
2147,3/2,Ismago,Larvae of the Great Worm,101
3148,8/23,Troutbully,Glyph of Deflection,101
1521,,Silly,Cloak of Suturing,101
2679,6/1,Valerick,Scrolls,101
2148,3/2,Dirtygramps,Vanquished Tentacle of Cthun,101
1184,,Valerick,imperial qiraji regalia,101
769,,Hadria,Resilience of the Scourge,101
3048,8/3,Valerick,Gauntlets of the Righteous Champion,101
2108,2/23,Silly,Lifegiving Gem,101
3201,8/30,Glowork,Libram of Light,101
1556,,Ismagu,Striker's Mark,101
1233,,Jimbo,Desecrated Circlet,101
2599,5/18,BLT,Band of Forced Concentration,101
2629,5/25,Tukobonk,Cloak of Clarity,101
1507,,Nieth,Phylactery,101
1696,12/29,Throndil,Wild Growth Spaulders,101
2557,5/17,Valerick,Phylactery of Kel'Thuzad,101
1146,,Thiccrae,Claw of the Frost Worm,100
1035,,Hadria,Vek'nilash's Circlet,100
890,,Zhendup,Suturing Cloak,100
2466,4/27,Bltoaster,Wand of Qiraji Nobility,100
52,,Manowar,Quick Strike Ring,100
175,,Charsi,Carapace of the Old God,100
2453,4/26,Inu,Icebane Helmet,100
2375,4/13,Holyskank,Cloak of the Devoured,100
761,,Wunbrow,The Soul Harvester's Bindings,100
2213,3/15,Rowaine,Spaulders of the Grand Crusader,100
2429,4/20,Respira,Netherwind Robes,100
3073,8/9,SHredz,Band of Unanswered Prayers,100
2939,7/13,Ginblossom,Cauterizing Band,100
2165,3/2,darkphate,Force Reactive Disk Schematic,100
1898,1/25,Nineteenxx,Nerubian Slavemaker,100
839,,Thunderhamer,Widow's Remorse,100
3024,8/2,Sillyprayers,The Phylactery of Kel'Thuzad,100
2405,4/19,Tofra,Ring of Faith,100
1780,1/11,Cuminmei,Power of the Scourge,100
269,,Minda,Imperial Qiraji Armaments,100
3030,8/2,Shredz,The Widow's Embrace,100
2210,3/15,Rowaine,Leggings of the Grand Crusader,100
2064,2/16,Sandi,Eye of Cthun,100
2306,3/30,Holyskank,Ring of the Martyr,100
2211,3/15,Virahl,Widow's Embrace,100
1002,,Ezekyle,Desecrated Sandals,100
2167,3/2,rowaine,Force Reactive Disk Schematic,100
2457,4/26,Zaek,Desecrated Circlet,100
2483,5/3,Skylarke,Sapphiron's Left Eye,100
2479,5/3,Skylarke,Phylactery,100
2424,4/20,Respira,Band of Forced Concentration,100
473,,Manowar,Striker's Mark,100
1934,1/26,Cateven,Don Rigoberto's Lost Hat,100
2659,5/31,Holyskank,Warmth of Forgiveness,100
528,,Hamtaro,Cryptfiend Silk Cloak,100
555,,Hlista,Desecrated Circlet,100
403,,Minda,Maexxna's Fang,100
2666,5/31,Okor,Maexxna's Fang,100
2262,3/22,Hadria,Sapph's Right Eye,100
2653,5/31,Tapdatayse,The Phylactery of Kel'Thuzad,100
27,,Barton,Judgement Bindings,100
2094,2/22,Eedz,Band of Reanimation,100
2567,5/17,Clonkx,Widow's Remorse,100
638,,Tuu,Band of Accuria,100
319,,Charsi,Desecrated Breastplate,100
2651,5/31,Holyskank,Soulseeker,100
2682,6/1,Legits,Cloak of Draconic Might,100
9,,Alishia,Signet of the Fallen Defender,100
2040,2/9,Ismagu,Brutality Blade,100
2733,6/8,Clonkx,Anubisath Warhammer,100
1634,12/28,Cascada,Eye of Diminution,100
410,,Alishia,Cloak of the Scourge,100
2747,6/8,skylarke,enchant formula,100
2053,2/15,Respiras,Wristguards of Vengeance,100
105,,Respira/Gamuza,Desecrated Girdle,100
2008,2/8,Freightdawg,Phylactery,100
2485,5/3,Tofra,Resilience of the Scourge,99
343,,Paddington,Boots of the Shadow Flame,99
3119,8/17,Prastinna,Cloak of Clarity,99
2680,6/1,Irongnome,Doom's Edger,99
2327,4/5,Nuranfu,Might of the Scourge,99
650,,Varros,Girdle of the Mentor,99
2289,3/29,Brock,Wand of the Fates,99
272,,Tiric,Qiraji Bindings of Command,99
2846,6/28,Jimbo,Resilience of the Scourge,99
2925,7/13,Jimbo,Styleen's Impeding Scarab,99
342,,Howdruidofme,Lok'amir ROmanis,98
2214,3/15,Cuminmei,Cloak of Suturing,96
1952,1/26,Legits,Qiraji Bindings of Command,95
267,,Mavmoney,Garb of Royal Ascension,94
836,,Mav,Touch of Frost,94
601,,Mavmoney,Band of Forced Concentration,94
194,,Keen,Desecrated Shoulderpads,91
2973,7/20,Kushbomb,Amulet of Vek'nilash,91
2267,3/23,Tuko,Styleen's Impeding Scarab,91
848,,Hamtaro,Desecrated Tunic,90
1287,,Kibbles,Mana Igniting Cord,90
95,,Tiric,Desecrated Waistguard,90
2284,3/29,Nuranfu,Power of the Scourge,90
391,,Zekrof,Ouro's Intact Hide,90
2333,4/5,Flowork,Cryptfiend Silk Cloak,90
195,,Yumiki,Desecrated Shoulderpads,90
2487,5/3,Yumi,The Soul Harvester's Bindings,89
1181,,Varros,Eye of Cthun,89
500,,Hamtarto,Ring of the Martyr,89
2312,3/30,Tukobonk,Qiraji Execution Bracers,88
1669,12/29,Remembrancer,Judgment Belt,88
2422,4/20,Sillysunders,Circle of Applied Force,88
1950,1/26,Tuko,Qiraji Bindings of Dominance,88
1657,12/29,Rogueisme,Prestor's ,88
2950,7/19,Mallanim,Desecrated Gauntlets,86
1486,,Nightsummon,Sharpened Silithis Femur,85
6,,Manus,Desecrated Gloves,85
409,,Hadria,Desecrated Sandles,85
2374,4/13,Throndil,Cloak of Clarity,85
431,,Mavmoney,Desecrated Gloves,84
390,,Mavmoney,Vek'nilash's Circlet,84
982,,Mavmoney,Midnight Haze,84
2590,5/18,Glowork,Cauterizing Band,83
156,,Tiric,Ooze-ridden Gauntlets,83
606,,Manowar,Empowered Leggings,83
1985,2/2,Saya,Archimetros Ring of Reckoning,83
3016,7/27,Rowaine,Essence of The Pure,82
315,,Keen,Desecrated Gloves,82
2173,3/8,Brockstar,Sapphiron's Left Eye,82
2062,2/16,Mallanim,Belt of Never-Ending Agony,81
1516,,Silly,Brimstone Staff,81
1020,,Hefestro,Boots of the Fallen Hero,80
2278,3/29,Throndil,Ring of redemption,80
652,,Hlista,Desecrated Sandals,80
57,,Hadria,Cauterizing Band,80
1605,12/22,Magnolia,Kalimdor's Revenge,80
15,,Xorkal,Desecrated Pauldrons,80
2578,5/18,Korzeth,Dragonstalker's Spaulders,80
314,,Yumiki,Desecrated Gloves,80
2459,4/27,Hamtaro,Mark of C'Thun,79
2233,3/16,Ismago,Ouro's Intact Hide,79
392,,Minda,Skin of the Great Sandworm,78
1106,,Thiccrae,Quick Strike Ring,78
1571,12/21,Jimbo,Brimstone Staff,78
3131,8/17,Lightborn,Breastplate of Annihilation,78
3227,8/30,tuko,Desecrated Tunic,77
372,,Ahimelech,Stormrage Legguards,77
3110,8/16,Plated,Face of Death,77
2897,7/6,19,Plans: Elemental Sharpening Stone,77
1365,,Raphael,Shield of Condemnation,77
238,,Paddington,Cauterizing Band,77
2225,3/16,Mallanim,Qiraji Execution Bracers,77
1624,12/28,Ahimelech,Desecrated Tunic,77
1648,12/28,Ahimelech,Desecrated Legguards,77
2098,2/22,19,GST,77
2811,6/21,Kushg,Doomfinger,76
1045,,Plated,Band of Unanswered Prayers,76
2497,5/4,Kazic,lokamir romahtis,76
703,,Hamtaro,Cloak of Clarity,76
2539,5/11,Clonkxz,Royal Qiraji Belt,75
2519,5/10,Kibbles,Power of the Scourge,75
2426,4/20,Sandi,Rejuvenating Gem,75
1923,1/25,Rogueisme,Desecrated Legplates,75
704,,Respira,Ring of the Godslayer,75
2434,4/20,Sandi,Cauterizing Band,75
2072,2/16,Legits,Armaments,75
2196,3/9,Inu,Onslaught Girdle,75
2805,6/21,bltoaster,Desecrated Robes,75
1363,,Thiccrae,Soulstring,75
2104,2/22,Remembrancer,Desecrated Headpiece,75
1084,,Sheepya,Mantle of the Blackwing Cabal,75
2501,5/4,Respira,Bracers of Arcane Accuracy,75
396,,Hunten,Ring of the Godslayer,75
2786,6/15,Valerick,Flameguard Gauntlets,75
1007,,Wumbo,The Face of Death,75
71,,Zacharillo,Cloak of the Golden Hive,75
2032,2/9,Respirea,Robes of the Guardian Saint,75
2778,6/15,Valerick,Styleen's Impeding Scarab,75
2161,3/2,Legits,Ouro's Intact Hide,75
72,,Minda,Vek'lor's Diadem,75
2691,6/1,Respira,Netherwind Gloves,75
2882,7/6,Shredz,Belt of Never-Ending Agony,74
1093,,Valerickl,Drake Talon Pauldrons,73
1559,12/21,Blackhanded,Signet of the Fallen Defender,73
3050,8/3,Shredz,Fetish of the Sand Reaver,73
161,,Kulmirik,Imperial Qiraji Regalia,72
4,,Dinkkle,Desecrated Bindings,72
3,,Yumiki,Desecrated Bindings,71
2843,6/28,Hamtaro,Brimstone Staff,71
3206,8/30,Hona,Desecrated Leggings,70
184,,Moonvale,Desecrated Handguards,70
109,,Tiric,Loatheb's Reflection,70
5,,Minda,Desecrated Handguards,70
2475,4/27,Cascada,TOEP,70
1855,1/18,Throndil,Desecrated Tunic,70
1739,1/5,Ahi,Talesman of Ephemeral Power,70
2450,4/26,Nuranfu,Cryptfiend Silk Cloak,70
38,,Kulmirik,Netherwind Gloves,70
368,,Urijah,Caut Band,70
1487,,Ahimeclech,Bracelets of Royal Redemption,70
10,,Minda,Desecrated Boots,70
2978,7/20,Ahi,Brutality Blade,70
2924,7/13,Urijah,Rejuvinating Gem,70
2470,4/27,fatjaws,Ouro's Intact Hide,69
3007,7/27,Rowaine,Girdle of the Fallen Crusader,69
3105,8/16,Begs,Death's Bargain,69
3213,8/30,Hona,Desecrated Circlet,69
436,,Fatjaws,Desecrated Breastplate,69
2215,3/15,Rowaine,Ring of the Eternal Flame,69
2491,5/3,Yumi,Gluth's Missing Collar,69
2777,6/15,Clonkx,Elementium Reinforced Bulwark,69
1295,,Tofra,Desecrated Robe,69
1370,,Tunasubgg,The Face of Death,69
2779,6/15,Ashula,Band of Forced Concentration,69
1191,,Hamtaro,grasp of the old god,69
2513,5/10,Rowaine,Phylactery,69
2926,7/13,Fatjaws,Dragonbreath Hand Cannon,69
2817,6/22,Rowaine,Boots of Epiphany,69
3040,8/2,Mallanim,Desecrated Breastplate,69
646,,Brockstar,Desecrated Gloves,69
2763,6/14,Rowaine,Maul of the Redeemed Crusader,69
2894,7/6,Iggy,Carapace of the Old God,69
2828,6/28,Zak,The Phylactery of Kel'Thuzad,69
2780,6/15,Ashula,Netherwind Boots,69
2577,5/18,Ashula,"Mish'Undare, Circlet of My Ass",69
1718,1/4,Rowaine,Claymore of Unholy Might,69
1594,12/22,Fatjaws,Angelista's Touch,69
279,,Zekrov/Kulmirik,Vek'nilash's Circlet,69
1626,12/28,Tuna,Goul Skin Tunic,69
2812,6/22,Rowaine,Cloak of Clarity,69
1178,,Nieth,angelista's charm,69
1409,,Fatjaws,Spineshatter,69
1907,1/25,Haka,Castigator,69
2419,4/20,Rowaine,Staff of Dominance,69
3013,7/27,Begs,Arcanist Mageblade,69
529,,Hamtaro,Desecrated Wristguards,69
3106,8/16,Begs,Phylacery,69
1151,,Varros,Misplaced Servo Arm,69
2957,7/19,Rowaine,Shield of Condemnation,69
1157,,Rowaine,Claymore of Unholy Might,69
1149,,Nieth,Fortitude of the Scourge,69
427,,Fatjaws,Desecrated Bracers,69
2600,5/18,Ashula,Firemaw's Clutch,69
2636,5/25,Spooge,Ring of Swarming Tought,69
2439,4/26,Plated,Phylactery,69
2601,5/18,Ashula,Azuresong Mageblade,69
1513,,Yumi,Resilience of the Scourge,67
1108,,Valerick,STriker's Mark,67
1412,,Lucen,Choker of the Fire Lord,67
127,,Tiric,Circlet of Applied Force,66
179,,Xorkal,Desecrated Bracers,66
637,,Kulmirik,Perdition's Blade,65
2103,2/22,Remembrancer,Desecrated Boots,65
1558,12/21,Flixter,Warmth of Forgiveness,64
1087,,Valerick,Helm of Endless RAge,63
2663,5/31,Hamtaro,Band of Reanimation,63
2030,2/9,Tukobonk,Wasphide Gauntlets,63
2461,4/27,Nuranfu,Belt of the Fallen Emperor,61
873,,Alphasmoke,qiraji';s bindings of command,61
2683,6/1,Aetherium,Helm of Endless Rage,61
284,,Toframadur,Husk of the Old GOd,61
186,,Paddington,Desecrated Girdle,61
1197,,Thiccrae,hive defiler wristguards,61
2509,5/10,Nightsurviv,Warmth of Forgiveness,60
3225,8/30,Truck,Desecrated Breastplate,60
2380,4/13,Ccheetzz,Qiraji Execution Bracers,60
1104,,Wumbo,"Ashkandi, Greatsword of the Brotherhood",60
785,,Oom,Shadow Wing Focus Staff,60
35,,Develon,Cloak of Firemaw,60
465,,Kulmirik,Elementium Reinforce Bulwark,60
1674,12/29,Silly,Drake Talon Pauldrons,59
2833,6/28,valerick,Cryptfiend Silk Cloak,59
236,,Thunderhamer,Perdition's Blade,59
44,,Isoncooldown,Cloak of the Brood Lord,58
870,,Tiric,veknilash's circlet,58
169,,Urijah,Regenerating Belt of Vek'nilash,58
3190,8/24,Tuko,ACLG,58
137,,Urijah,Talisman of Ephemeral Power,58
1159,,Plated,Cloak of Suturing,57
498,,Thunderhamer,Qiraji Bindings of Command,57
1028,,Valerick,Qiraji Bindings of Command,57
2791,6/15,Valerick,Band of Accuria,57
1377,,Tofra ,Eye of Diminution,57
900,,Thunderhamer,Cloak of the Scourge,56
1894,1/19,Ahimelech,Flameguard Gauntlets,56
1310,,Raphael,Band of Unanswered Prayers,56
213,,Sandi,Helm of Endless,55
659,,Mavmoney,Glacial Mantle,55
3202,8/30,Glowork,Neclace of Necropsy,55
846,,Mav,Glacial Headdress,55
2180,3/8,Morty,Plated Abomination Ribcage,55
2194,3/9,Inu,Blastershot Launcher,55
1415,,Thiccrae,Wild Growth Spaulders,55
1733,1/5,Cateven,Claw of Chromaggus,55
854,,Boenita,Plagueheart Ring,55
415,,Hadria,Desecrated Shoulderpads,55
1990,2/2,Kulmirik,Bracers of Arcane Accuracy,55
273,,Keen,Qiraji Bindings of Dominance,55
2235,3/16,Remembrancer,Carapace of the old god,55
1736,1/5,Todger,Dragonbreath Hand Cannon,55
2394,4/13,Todger,Forced Reactive Disk Recipe,55
2867,7/5,Valerick,The Face of Death,55
2383,4/13,Xorkal,Qiraji Bindings of Command,54
2176,3/8,Brock,Power of the Scourge,53
1848,1/18,Spooge,Necklace of Neckropcy,53
501,,Plated,Bracelets of Royal Redemption,53
92,,Hunten,Desecrated Handguards,53
2606,5/24,Spooge,Desecrated Glove,52
2116,2/23,Remembrancer,TOEP,52
1033,,Lucen,Boots of Epiphany,52
2968,7/19,Kushbomb,Digested Hand of Power,51
2859,6/29,Kazic,Lifegiving Gem,51
2796,6/21,Ismago,Cloak of the Scourge,51
125,,Paddington,Malfurion's Blessed Bulwark,51
299,,XorkaL,Toxin Injector,51
1296,,Yumi,Desecrated Robe,51
2674,6/1,Valerick,Head of Nef,51
